team,year,div,conf,w_l_percent,mov,ortg,drtg,nrtg,mov_a,ortg_a,drtg_a,nrtg_a
New York Knicks,2016,A,E,0.39,-2.73,105.41,108.43,-3.03,-2.73,105.55,108.58,-3.02
Oklahoma City Thunder,2016,NW,W,0.6709999999999999,7.28,113.76,106.22,7.54,7.09,113.64,106.29,7.35
Orlando Magic,2016,A,E,0.4270000000000001,-1.62,105.73,107.47,-1.74,-1.68,105.89,107.7,-1.8
Philadelphia 76ers,2016,A,E,0.122,-10.23,99.65,110.15,-10.5,-9.92,99.83,110.01,-10.18
Phoenix Suns,2016,P,W,0.28,-6.66,102.94,109.8,-6.86,-6.32,102.95,109.45,-6.5
Portland Trail Blazers,2016,P,W,0.537,0.83,109.55,108.67,0.88,0.98,109.48,108.45,1.03
Sacramento Kings,2016,P,W,0.402,-2.48,106.57,109.07,-2.5,-2.31,106.44,108.77,-2.33
San Antonio Spurs,2016,M,W,0.8170000000000001,10.63,111.04,99.55,11.49,10.28,110.59,99.49,11.1
Toronto Raptors,2016,C,E,0.6829999999999999,4.5,111.11,106.16,4.95,4.08,111.18,106.68,4.5
Utah Jazz,2016,M,W,0.488,1.8,106.83,104.78,2.04,1.86,106.57,104.48,2.09
Washington Wizards,2016,A,E,0.5,-0.5,106.09,106.48,-0.39,-0.49,106.23,106.62,-0.39
Atlanta Hawks,2017,C,E,0.524,-0.85,105.55,106.54,-0.99,-1.23,105.32,106.69,-1.37
Boston Celtics,2017,A,E,0.6459999999999999,2.63,111.88,109.16,2.72,2.25,111.81,109.49,2.33
Brooklyn Nets,2017,A,E,0.244,-6.73,104.61,111.34,-6.73,-6.74,104.63,111.37,-6.74
Charlotte Hornets,2017,C,E,0.439,0.2,109.57,109.31,0.25,-0.06,109.53,109.55,-0.02
Chicago Bulls,2017,C,E,0.5,0.43,108.04,107.72,0.32,0.03,107.91,107.98,-0.08
Cleveland Cavaliers,2017,C,E,0.622,3.18,114.25,110.99,3.27,2.88,114.33,111.38,2.95
Dallas Mavericks,2017,M,W,0.402,-2.93,106.28,109.36,-3.08,-2.52,106.31,108.96,-2.65
Denver Nuggets,2017,M,W,0.488,0.51,113.9,113.43,0.47,0.7,114.06,113.39,0.67
Detroit Pistons,2017,C,E,0.451,-1.12,106.53,107.9,-1.37,-1.29,106.39,107.93,-1.54
Golden State Warriors,2017,P,W,0.8170000000000001,11.63,116.26,104.57,11.69,11.35,116.02,104.61,11.41
Houston Rockets,2017,M,W,0.6709999999999999,5.77,115.59,109.96,5.63,5.84,115.7,109.98,5.72
Indiana Pacers,2017,C,E,0.512,-0.22,109.33,109.49,-0.16,-0.64,109.21,109.81,-0.6
Los Angeles Clippers,2017,P,W,0.622,4.29,113.38,108.88,4.5,4.42,113.46,108.82,4.64
Los Angeles Lakers,2017,P,W,0.317,-6.88,106.69,113.72,-7.02,-6.29,106.96,113.38,-6.42
Memphis Grizzlies,2017,M,W,0.524,0.49,108.59,107.89,0.7,0.96,108.71,107.55,1.17
Miami Heat,2017,A,E,0.5,1.06,108.73,107.65,1.09,0.78,108.62,107.84,0.79
Milwaukee Bucks,2017,C,E,0.512,-0.18,109.92,110.16,-0.23,-0.44,109.96,110.46,-0.5
Minnesota Timberwolves,2017,M,W,0.378,-1.11,111.54,112.74,-1.2,-0.63,111.75,112.46,-0.71
New Orleans Pelicans,2017,SW,W,0.415,-2.1,105.81,108.01,-2.2,-1.69,105.79,107.57,-1.78
New York Knicks,2017,A,E,0.378,-3.67,108.57,112.35,-3.77,-3.87,108.62,112.6,-3.98
Oklahoma City Thunder,2017,NW,W,0.573,0.76,108.95,108.17,0.78,1.15,108.94,107.75,1.18
Orlando Magic,2017,A,E,0.354,-6.57,104.23,111.11,-6.88,-6.61,104.3,111.21,-6.92
Philadelphia 76ers,2017,A,E,0.341,-5.7,103.96,109.81,-5.85,-5.83,103.92,109.91,-5.99
Phoenix Suns,2017,P,W,0.293,-5.63,107.32,112.79,-5.47,-5.14,107.43,112.41,-4.98
Portland Trail Blazers,2017,P,W,0.5,-0.52,110.93,111.46,-0.53,-0.23,111.09,111.31,-0.22
Sacramento Kings,2017,P,W,0.39,-3.88,107.98,112.18,-4.21,-3.29,108.12,111.72,-3.59
San Antonio Spurs,2017,M,W,0.7440000000000001,7.2,111.81,104.25,7.56,7.13,111.62,104.12,7.49
Toronto Raptors,2017,C,E,0.622,4.21,113.2,108.68,4.51,3.65,113.07,109.14,3.93
Utah Jazz,2017,M,W,0.622,3.94,110.46,106.19,4.27,4.0,110.31,105.98,4.33
Washington Wizards,2017,A,E,0.598,1.8,111.98,110.06,1.92,1.36,111.96,110.49,1.46
Atlanta Hawks,2018,C,E,0.293,-5.45,105.74,111.21,-5.47,-5.3,105.81,111.12,-5.31
Boston Celtics,2018,A,E,0.6709999999999999,3.59,108.4,104.65,3.75,3.24,108.14,104.75,3.39
Brooklyn Nets,2018,A,E,0.341,-3.74,107.71,111.51,-3.8,-3.67,107.83,111.55,-3.72
Charlotte Hornets,2018,C,E,0.439,0.26,109.95,109.72,0.23,0.07,109.93,109.89,0.04
Chicago Bulls,2018,C,E,0.329,-7.04,104.39,111.61,-7.22,-6.84,104.46,111.47,-7.01
Cleveland Cavaliers,2018,C,E,0.61,0.94,113.58,112.56,1.02,0.59,113.61,112.94,0.67
Dallas Mavericks,2018,M,W,0.293,-3.04,106.92,110.0,-3.08,-2.7,106.96,109.7,-2.74
Denver Nuggets,2018,M,W,0.561,1.48,113.02,111.4,1.62,1.57,113.21,111.5,1.71
Detroit Pistons,2018,C,E,0.476,-0.15,107.95,108.14,-0.19,-0.26,107.84,108.14,-0.3
Golden State Warriors,2018,P,W,0.7070000000000001,5.98,114.31,108.43,5.88,5.79,114.33,108.62,5.7
Houston Rockets,2018,M,W,0.7929999999999999,8.48,115.48,106.84,8.64,8.21,115.45,107.08,8.37
Indiana Pacers,2018,C,E,0.585,1.38,110.24,108.8,1.44,1.18,110.17,108.94,1.24
Los Angeles Clippers,2018,P,W,0.512,0.04,110.97,111.02,-0.05,0.15,111.06,111.0,0.07
Los Angeles Lakers,2018,P,W,0.4270000000000001,-1.55,107.1,108.64,-1.54,-1.43,106.96,108.39,-1.43
Memphis Grizzlies,2018,M,W,0.268,-6.21,105.29,111.85,-6.57,-5.81,105.44,111.59,-6.15
Miami Heat,2018,A,E,0.537,0.48,107.63,107.12,0.51,0.15,107.47,107.28,0.18
Milwaukee Bucks,2018,C,E,0.537,-0.3,110.67,110.98,-0.31,-0.45,110.7,111.16,-0.46
Minnesota Timberwolves,2018,M,W,0.573,2.23,114.24,111.86,2.38,2.35,114.41,111.91,2.5
New Orleans Pelicans,2018,SW,W,0.585,1.3,110.29,109.05,1.24,1.48,110.37,108.95,1.42
New York Knicks,2018,A,E,0.354,-3.56,107.72,111.36,-3.65,-3.53,107.77,111.38,-3.61
Oklahoma City Thunder,2018,NW,W,0.585,3.41,111.48,108.02,3.47,3.42,111.5,108.03,3.47
Orlando Magic,2018,A,E,0.305,-4.82,105.83,110.85,-5.02,-4.92,105.77,110.88,-5.11
Philadelphia 76ers,2018,A,E,0.634,4.5,110.28,105.77,4.51,4.3,110.12,105.81,4.31
Phoenix Suns,2018,P,W,0.256,-9.37,104.25,113.51,-9.26,-8.8,104.5,113.19,-8.69
Portland Trail Blazers,2018,P,W,0.598,2.6,109.58,106.93,2.66,2.6,109.44,106.79,2.66
Sacramento Kings,2018,P,W,0.329,-6.99,104.47,111.9,-7.43,-6.59,104.6,111.62,-7.02
San Antonio Spurs,2018,M,W,0.573,2.89,108.49,105.36,3.13,2.89,108.35,105.23,3.12
Toronto Raptors,2018,C,E,0.72,7.78,114.6,106.56,8.03,7.3,114.5,106.96,7.54
Utah Jazz,2018,M,W,0.585,4.3,109.07,104.56,4.51,4.47,108.92,104.24,4.68
Washington Wizards,2018,A,E,0.524,0.59,109.96,109.41,0.55,0.53,110.0,109.49,0.5
Atlanta Hawks,2019,C,E,0.354,-6.02,108.71,114.41,-5.7,-6.06,108.83,114.59,-5.76
Boston Celtics,2019,A,E,0.598,4.44,112.78,108.35,4.43,3.9,112.57,108.69,3.88
Brooklyn Nets,2019,A,E,0.512,-0.07,110.3,110.36,-0.06,-0.4,110.15,110.56,-0.41
Charlotte Hornets,2019,C,E,0.476,-1.1,112.1,113.16,-1.06,-1.31,112.11,113.41,-1.3
Chicago Bulls,2019,C,E,0.268,-8.41,105.45,113.94,-8.49,-8.32,105.49,113.9,-8.41
Cleveland Cavaliers,2019,C,E,0.232,-9.61,108.5,118.54,-10.04,-9.39,108.83,118.64,-9.82
Dallas Mavericks,2019,M,W,0.402,-1.28,110.19,111.41,-1.22,-0.86,110.29,111.08,-0.79
Denver Nuggets,2019,M,W,0.659,3.95,113.76,109.62,4.14,4.2,113.74,109.35,4.39
Detroit Pistons,2019,C,E,0.5,-0.24,109.93,110.13,-0.2,-0.55,109.86,110.38,-0.53
Golden State Warriors,2019,P,W,0.695,6.46,116.63,110.24,6.39,6.42,116.6,110.24,6.37
Houston Rockets,2019,M,W,0.6459999999999999,4.77,116.25,111.43,4.82,4.97,116.45,111.43,5.03
Indiana Pacers,2019,C,E,0.585,3.33,110.62,107.23,3.39,2.76,110.31,107.5,2.8
Los Angeles Clippers,2019,P,W,0.585,0.85,113.14,112.33,0.81,1.09,113.29,112.22,1.06
Los Angeles Lakers,2019,P,W,0.451,-1.72,108.52,110.18,-1.66,-1.32,108.46,109.71,-1.26
Memphis Grizzlies,2019,M,W,0.402,-2.6,106.96,109.66,-2.7,-2.08,106.93,109.09,-2.17
Miami Heat,2019,A,E,0.476,-0.23,108.22,108.35,-0.13,-0.45,108.03,108.39,-0.36
Milwaukee Bucks,2019,C,E,0.732,8.87,114.23,105.76,8.47,8.05,113.89,106.23,7.66
Minnesota Timberwolves,2019,M,W,0.439,-1.5,112.04,113.54,-1.51,-1.02,112.31,113.32,-1.01
New Orleans Pelicans,2019,SW,W,0.402,-1.33,111.85,113.1,-1.25,-1.1,111.98,112.98,-1.01
New York Knicks,2019,A,E,0.207,-9.21,105.13,114.39,-9.26,-8.92,105.31,114.3,-8.98
Oklahoma City Thunder,2019,NW,W,0.598,3.4,110.85,107.53,3.31,3.56,110.71,107.22,3.49
Orlando Magic,2019,A,E,0.512,0.71,109.46,108.82,0.65,0.28,109.26,109.05,0.21
Philadelphia 76ers,2019,A,E,0.622,2.7,113.21,110.58,2.64,2.26,113.16,110.97,2.19
Phoenix Suns,2019,P,W,0.232,-9.34,106.29,115.55,-9.26,-8.61,106.59,115.11,-8.52
Portland Trail Blazers,2019,P,W,0.6459999999999999,4.2,115.45,111.07,4.38,4.44,115.63,111.01,4.62
Sacramento Kings,2019,P,W,0.476,-1.12,111.17,112.19,-1.02,-0.81,111.29,112.0,-0.71
San Antonio Spurs,2019,M,W,0.585,1.68,113.3,111.55,1.75,1.81,113.3,111.42,1.88
Toronto Raptors,2019,C,E,0.7070000000000001,6.09,113.99,108.0,5.99,5.49,113.78,108.4,5.38
Utah Jazz,2019,M,W,0.61,5.26,111.35,106.11,5.24,5.29,111.23,105.94,5.28
Washington Wizards,2019,A,E,0.39,-2.9,111.72,114.56,-2.84,-3.3,111.72,114.97,-3.25
Atlanta Hawks,2020,C,E,0.299,-7.97,107.86,115.47,-7.61,-7.71,108.18,115.56,-7.37
Boston Celtics,2020,A,E,0.667,6.31,114.14,107.79,6.35,5.83,114.01,108.15,5.86
Brooklyn Nets,2020,A,E,0.486,-0.57,109.68,110.25,-0.57,-1.01,109.63,110.64,-1.01
Charlotte Hornets,2020,C,E,0.354,-6.75,107.32,114.21,-6.89,-7.04,107.38,114.56,-7.18
Chicago Bulls,2020,C,E,0.338,-3.08,107.6,110.74,-3.14,-4.0,107.22,111.29,-4.07
Cleveland Cavaliers,2020,C,E,0.292,-7.89,108.14,116.2,-8.05,-7.77,108.46,116.41,-7.94
Dallas Mavericks,2020,M,W,0.573,4.95,117.5,112.53,4.97,4.87,117.41,112.52,4.9
Denver Nuggets,2020,M,W,0.63,2.11,114.06,111.9,2.15,2.35,114.06,111.66,2.4
Detroit Pistons,2020,C,E,0.303,-3.56,109.96,113.59,-3.63,-4.38,109.77,114.23,-4.45
Golden State Warriors,2020,P,W,0.231,-8.71,105.93,114.66,-8.74,-8.12,105.98,114.11,-8.13
Houston Rockets,2020,M,W,0.611,2.96,113.71,110.82,2.89,3.13,113.68,110.59,3.08
Indiana Pacers,2020,C,E,0.616,1.96,110.9,108.77,2.12,1.63,110.94,109.17,1.77
Los Angeles Clippers,2020,P,W,0.6809999999999999,6.44,114.66,108.25,6.41,6.66,114.56,107.94,6.62
Los Angeles Lakers,2020,P,W,0.732,5.79,112.78,107.14,5.65,6.28,112.83,106.68,6.16
Memphis Grizzlies,2020,M,W,0.466,-1.07,109.97,110.91,-0.94,-0.91,109.87,110.65,-0.78
Miami Heat,2020,A,E,0.603,2.95,113.29,110.36,2.93,2.59,113.22,110.65,2.58
Milwaukee Bucks,2020,C,E,0.767,10.08,112.98,103.36,9.62,9.41,112.69,103.73,8.96
Minnesota Timberwolves,2020,M,W,0.297,-4.3,108.91,113.03,-4.12,-4.02,108.9,112.73,-3.83
New Orleans Pelicans,2020,SW,W,0.417,-1.29,111.42,112.62,-1.2,-0.55,111.73,112.18,-0.46
New York Knicks,2020,A,E,0.318,-6.45,107.1,113.52,-6.42,-6.72,106.91,113.6,-6.7
Oklahoma City Thunder,2020,NW,W,0.611,1.99,111.74,109.66,2.09,2.32,111.74,109.32,2.42
Orlando Magic,2020,A,E,0.452,-1.01,109.1,110.28,-1.18,-0.93,109.18,110.27,-1.09
Philadelphia 76ers,2020,A,E,0.589,2.38,112.09,109.77,2.32,2.25,112.15,109.97,2.18
Phoenix Suns,2020,P,W,0.466,0.22,112.38,112.27,0.11,0.56,112.41,111.94,0.47
Portland Trail Blazers,2020,P,W,0.473,-1.15,114.26,115.41,-1.15,-0.61,114.48,115.09,-0.61
Sacramento Kings,2020,P,W,0.431,-2.04,111.09,113.03,-1.94,-1.59,111.17,112.65,-1.48
San Antonio Spurs,2020,M,W,0.451,-1.11,112.98,114.17,-1.2,-0.65,113.13,113.86,-0.73
Toronto Raptors,2020,C,E,0.736,6.24,112.02,105.85,6.18,5.97,111.99,106.08,5.9
Utah Jazz,2020,M,W,0.611,2.47,113.14,110.48,2.66,2.52,113.09,110.38,2.71
Washington Wizards,2020,A,E,0.34700000000000003,-4.67,111.69,116.16,-4.46,-5.24,111.64,116.7,-5.05
